full.tax.name
Pandanus spathulatus
Pandanus sphaeroideus
Pandanus utilis
Pandanus vandermeeschii
Pandanus wiehei
Pandanus 
Antidesma madagascariense
Margaritaria anomala
Phyllanthus casticum
Phyllanthus lanceolatus
Phyllanthus mauritianus
Phyllanthus oppositifolius
Phyllanthus phillyreifolius
Phyllanthus pileostigma
Phyllanthus revaughanii
Phyllanthus tenellus
Securinega durissima
Synostemon bacciformis
Peperomia borbonensis
Peperomia elliptica
Peperomia goudotii
Peperomia portulacoides
Peperomia tetraphylla
Piper borbonense
Pittosporum ferrugineum
Pittosporum senacia
Bacopa monnieri
Lindernia benthamii
Plumbago zeylanica
Andropogon alopecurus
Aristida setacea
Arthraxon hispidus
Brachiaria 
Brachiaria serpens
Brachiaria umbellata
Chloris barbata
Chloris filiformis
Chrysopogon argutus
Cymbopogon caesius
Cynodon dactylon
Cyrtococcum multinode
Dactyloctenium ctenoides
Digitaria bicornis
Digitaria ciliaris
Digitaria didactyla
Eragrostis amabilis
Eragrostis ciliaris
Eragrostis propinqua
Eleusine indica
Isachne mauritiana
Isachne vaughanii
Ischaemum koleostachys
Ischaemum polystachyum
Lepturus radicans
Lepturus repens
Oplismenus burmanni
Oplismenus compositus
Oplismenus hirtellus
Panicum breviflorum
Panicum subalbidum
Paspalidium geminatum
Phragmitis mauritianus
Setaria flavida
Sporobolus linearis
Sporobolus rigidifolius
Sporobolus virginicus
Stenotaphrum dimidiatum
Stenotaphrum micrantum
Zoysia matrella
Persicaria poiretii
Portulaca mauritiensis
Portulaca oleracea
Portulaca quadrifida
Potamogeton chamissoi
Potamogeton pectinatus
Potamogeton thurbergii
Zannichellia palustris
Badula crassa
Badula insularis
Badula multiflora
Badula ovalifolia
Badula platyphylla
Badula reticulata
Badula sieberi
Embelia angustifolia
Embelia micrantha
Drypetes caustica
Clematis mauritiana
Gouania scandens
Phylica nitida
Scutia myrtina
Bruguiera gymnorhiza
Rhizophora mucronata
Roussea simplex
Antirhea bifurcata
Antirhea borbonica
Bertiera bistipula
Bertiera zaluziana
Bremeria landia
Chassalia boryana
Chassalia capitata
Chassalia coriacea
Chassalia grandifolia
Chassalia lanceolata
Chassalia petrinensis
Coffea macrocarpa
Coffea mauritiana
Coffea myrtifolia
Coptosperma borbonicum
Coptosperma cymosa
Danais fragrans
Danais sulcata
Fernelia buxifolia
Fernelia decipiens
Fernelia obovata
Gaertnera calycina
Gaertnera crassiflora
Gaertnera cuneifolia
Gaertnera edentata
Gaertnera hirtifolia
Gaertnera longifolia
Gaertnera pendula
Gaertnera psychotrioides
