id	taxonID	acceptedNameUsageID	scientificName	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	specificEpithet	full.tax.name	taxonRank	scientificNameAuthorship	vernacularName	taxonomicStatus	taxonRemarks	language
MUS_047	MUS_047		Aloe tormentorii (Marais) L.E. Newton & G.D. Rowley			Plantae	Tracheophyta	Liliopsida	Asparagales	Asphodelaceae	Aloe	tormentorii	Aloe tormentorii	species	(Marais) L.E. Newton & G.D. Rowley		accepted		
MUS_048	MUS_048		Dianella ensifolia (L.) Redouté			Plantae	Tracheophyta	Liliopsida	Asparagales	Asphodelaceae	Dianella	ensifolia	Dianella ensifolia	species	(L.) Redouté		accepted		
MUS_049	MUS_049		Astelia hemichrysa (Lam.) Kunth			Plantae	Tracheophyta	Liliopsida	Asparagales	Asteliaceae	Astelia	hemichrysa	Astelia hemichrysa	species	(Lam.) Kunth		accepted		
MUS_050	MUS_050		Blumea axillaris (Lam.) DC.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Blumea	axillaris	Blumea axillaris	species	(Lam.) DC.		accepted		
MUS_051	MUS_051		Cylindrocline commersonii Cass.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cylindrocline	commersonii	Cylindrocline commersonii	species	Cass.		accepted		
MUS_052	MUS_052		Cylindrocline lorencei A.J. Scott			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cylindrocline	lorencei	Cylindrocline lorencei	species	A.J. Scott		accepted		
MUS_053	MUS_053		Distephanus populifolius (Lam.) Cass.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Distephanus	populifolius	Distephanus populifolius	species	(Lam.) Cass.		accepted		
MUS_054	MUS_054		Cyanthillium cinereum (L.) H. Rob.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cyanthillium	cinereum	Cyanthillium cinereum	species	(L.) H. Rob.		accepted		
MUS_055	MUS_055		Emilia lyrata (Cass.) C. Jeffrey			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Emilia	lyrata	Emilia lyrata	species	(Cass.) C. Jeffrey		accepted		
MUS_056	MUS_056		Faujasiopsis boivinii (Klatt) C. Jeffrey			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Faujasiopsis	boivinii	Faujasiopsis boivinii	species	(Klatt) C. Jeffrey		accepted		
MUS_057	MUS_057		Faujasiopsis flexuosa (Lam.) C. Jeffrey			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Faujasiopsis	flexuosa	Faujasiopsis flexuosa	species	(Lam.) C. Jeffrey		accepted		
MUS_058	MUS_058		Faujasiopsis reticulata (Vahl)  C. Jeffrey			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Faujasiopsis	reticulata	Faujasiopsis reticulata	species	(Vahl)  C. Jeffrey		accepted		
MUS_059	MUS_059		Helichrysum caespitosum (Lam.) DC.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Helichrysum	caespitosum	Helichrysum caespitosum	species	(Lam.) DC.		accepted		
MUS_060	MUS_060		Helichrysum mauritianum A.J. Scott			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Helichrysum	mauritianum	Helichrysum mauritianum	species	A.J. Scott		accepted		
MUS_061	MUS_061		Helichrysum proteoides (Lam.) Baker			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Helichrysum	proteoides	Helichrysum proteoides	species	(Lam.) Baker		accepted		
MUS_062	MUS_062		Helichrysum yuccifolium (Lam.) DC.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Helichrysum	yuccifolium	Helichrysum yuccifolium	species	(Lam.) DC.		accepted		
MUS_063	MUS_063		Hubertia ambavilla Bory			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Hubertia	ambavilla	Hubertia ambavilla	species	Bory		accepted		
MUS_064	MUS_064		Lactuca indica L.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Lactuca	indica	Lactuca indica	species	L.		accepted		
MUS_065	MUS_065		Launaea sarmentosa (Willd.) Kuntze			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Launaea	sarmentosa	Launaea sarmentosa	species	(Willd.) Kuntze		accepted		
MUS_066	MUS_066		Monarrhenus salicifolius (Lam.) Cass.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Monarrhenus	salicifolius	Monarrhenus salicifolius	species	(Lam.) Cass.		accepted		
MUS_067	MUS_067		Parafaujasia mauritiana C. Jeffrey			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Parafaujasia	mauritiana	Parafaujasia mauritiana	species	C. Jeffrey		accepted		
MUS_068	MUS_068		Psiadia arguta (Pers.) Voigt			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Psiadia	arguta	Psiadia arguta	species	(Pers.) Voigt		accepted		
MUS_069	MUS_069		Psiadia canescens A.J. Scott			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Psiadia	canescens	Psiadia canescens	species	A.J. Scott		accepted		
MUS_070	MUS_070		Psiadia cataractae A.J. Scott			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Psiadia	cataractae	Psiadia cataractae	species	A.J. Scott		accepted		
MUS_071	MUS_071		Psiadia lithospermifolia (Lam.) Cordem.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Psiadia	lithospermifolia	Psiadia lithospermifolia	species	(Lam.) Cordem.		accepted		
MUS_072	MUS_072		Psiadia mauritiana A.J. Scott			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Psiadia	mauritiana	Psiadia mauritiana	species	A.J. Scott		accepted		
MUS_073	MUS_073		Psiadia penninervia DC.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Psiadia	penninervia	Psiadia penninervia	species	DC.		accepted		
MUS_074	MUS_074		Psiadia pollicina A.J. Scott			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Psiadia	pollicina	Psiadia pollicina	species	A.J. Scott		accepted		
MUS_075	MUS_075		Psiadia terebinthina A.J. Scott			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Psiadia	terebinthina	Psiadia terebinthina	species	A.J. Scott		accepted		
MUS_076	MUS_076		Psiadia viscosa (Lam.) A.J. Scott			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Psiadia	viscosa	Psiadia viscosa	species	(Lam.) A.J. Scott		accepted		
MUS_077	MUS_077		Senecio lamarckianus Bullock			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Senecio	lamarckianus	Senecio lamarckianus	species	Bullock		accepted		
MUS_078	MUS_078		Senecio			Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Senecio		Senecio 	genus					
MUS_079	MUS_079		Begonia salaziensis (Gaudich.) Warb.			Plantae	Tracheophyta	Magnoliopsida	Curcubitales	Begoniaceae	Begonia	salaziensis	Begonia salaziensis	species	(Gaudich.) Warb.		accepted		
MUS_080	MUS_080		Colea colei (Bojer ex Hook.) M.L. Green			Plantae	Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae	Colea	colei	Colea colei	species	(Bojer ex Hook.) M.L. Green		accepted		
MUS_081	MUS_081		Cynoglossum rochelia A. DC.			Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Cynoglossum	rochelia	Cynoglossum rochelia	species	A. DC.		accepted		
MUS_082	MUS_082		Cynoglossum rochelia A. DC.			Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Cynoglossum	rochelia	Cynoglossum rochelia	species	A. DC.		accepted		
MUS_083	MUS_083		Hilsenbergia petiolaris (Lam.) J.S. Mill.			Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Hilsenbergia	petiolaris	Hilsenbergia petiolaris	species	(Lam.) J.S. Mill.		accepted		
MUS_084	MUS_084		Tournefortia argentea L.f.			Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Tournefortia	argentea	Tournefortia argentea	species	L.f.		accepted		
MUS_085	MUS_085		Tournefortia bojeri A.DC.			Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Tournefortia	bojeri	Tournefortia bojeri	species	A.DC.		accepted		
MUS_086	MUS_086		Rorippa insularis Jonsell			Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Rorippa	insularis	Rorippa insularis	species	Jonsell		accepted		
MUS_087	MUS_087		Canarium paniculatum (Lam.) Benth. ex Engl.			Plantae	Tracheophyta	Magnoliopsida	Sapindales	Burseraceae	Canarium	paniculatum	Canarium paniculatum	species	(Lam.) Benth. ex Engl.		accepted		
MUS_088	MUS_088		Protium obtisufolium (Lam.) Marchand			Plantae	Tracheophyta	Magnoliopsida	Sapindales	Burseraceae	Protium	obtisufolium	Protium obtisufolium	species	(Lam.) Marchand		accepted		
MUS_089	MUS_089		Rhipsalis baccifera (Sol.) Stearn			Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Cactaceae	Rhipsalis	baccifera	Rhipsalis baccifera	species	(Sol.) Stearn		accepted		
MUS_090	MUS_090		Calophyllum eputamen P.F. Stevens			Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Calophyllaceae	Calophyllum	eputamen	Calophyllum eputamen	species	P.F. Stevens		accepted		
MUS_091	MUS_091		Calophyllum parviflorum Bojer ex Baker			Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Calophyllaceae	Calophyllum	parviflorum	Calophyllum parviflorum	species	Bojer ex Baker		accepted		
MUS_092	MUS_092		Calophyllum tacamahaca Willd.			Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Calophyllaceae	Calophyllum	tacamahaca	Calophyllum tacamahaca	species	Willd.		accepted		
MUS_093	MUS_093		Lobelia erinus L.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Lobelia	erinus	Lobelia erinus	species	L.		accepted		
MUS_094	MUS_094		Lobelia fervens Thunb.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Lobelia	fervens	Lobelia fervens	species	Thunb.		accepted		
MUS_095	MUS_095		Lobelia serpens Lam.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Lobelia	serpens	Lobelia serpens	species	Lam.		accepted		
MUS_096	MUS_096		Lobelia telephioides (C. Presl) DC.			Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Lobelia	telephioides	Lobelia telephioides	species	(C. Presl) DC.		accepted		
MUS_097	MUS_097		Nesocodon mauritianus (I.B.K. Richardson) Thulin			Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Nesocodon	mauritianus	Nesocodon mauritianus	species	(I.B.K. Richardson) Thulin		accepted		
MUS_098	MUS_098		Ceratophyllum demersum L.			Plantae	Tracheophyta	magnoliopsida	Caryophyllales	Ceratophyllaceae	Ceratophyllum	demersum	Ceratophyllum demersum	species	L.		accepted		
MUS_099	MUS_099		Celtis philippensis Blanco			Plantae	Tracheophyta	Magnoliopsida	Rosales	Cannabaceae	Celtis	philippensis	Celtis philippensis	species	Blanco		accepted		
